Country Name,Country Code,Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],"Air transport, passengers carried [IS.AIR.PSGR]",Average precipitation in depth (mm per year) [AG.LND.PRCP.MM],Children out of school (% of primary school age) [SE.PRM.UNER.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN],Forest area (% of land area) [AG.LND.FRST.ZS],Individuals using the Internet (% of population) [IT.NET.USER.ZS],"Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]","International tourism, number of arrivals [ST.INT.ARVL]",Land area (sq. km) [AG.LND.TOTL.K2],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
Belgium,BEL,411931457842.146,9508165.31494536,847,2.00459003448486,21.7560005187988,1.79,9.21518004600941,22.5257595772787,80.7199905482042,1.84958790279288,7560000,30280,80.3853658536585
Belize,BLZ,1140244368.96113,448015.914026667,1705,0.433189988136292,17.7779998779297,2.642,68.6336529491165,60.5589653660675,31,43.0649151621171,277000,22810,69.798
Benin,BEN,6832146671.64017,58314.1,1039,4.49385023117065,17.8339996337891,5.246,40.3401794029738,39.5619013834693,4.5,,220000,112760,59.855
Bermuda,BMU,,,,16.5421295166016,,1.59,23.5409415200407,20,91.2993045243401,9.49682647715222,232000,50,81.6778048780488
Bhutan,BTN,1499592086.08946,193405,2200,11.3074598312378,8.64700031280518,2.236,6.936412173101,71.4943463546449,15.6,4.38266218838276,105000,38117,68.639
Bolivia,BOL,20329425961.0418,2206069.76066974,1146,10.1257696151733,20.5979995727539,3.072,14.5220654717194,51.3532724083818,35.34,11.9249880164125,798000,1083300,67.451
Bosnia and Herzegovina,BIH,14841853014.5141,24874.0896320184,1028,,29.0049991607666,1.314,7.4380191601867,42.67578125,45.0645004334763,1.72687900882627,439000,51200,76.223
Botswana,BWA,11445165401.508,415130.020977764,416,7.16981983184814,13.8739995956421,2.863,2.0384064290517,19.6682723695587,16,,1614000,566730,62.425
Brazil,BRA,2071000094891.7,94752568,1761,4.48624992370605,23.0139999389648,1.777,32.1932383857098,59.4019722091279,48.56,26.4528021384897,5677000,8358140,74.488
British Virgin Islands,VGB,,,,,,,,24.2,37.6,,351000,150,
Brunei Darussalam,BRN,13521479922.6967,1044170,2722,3.34696006774902,19.57200050354,1.874,0.046009564385162,72.1062618595825,60.2730650423193,1.0006303971502,209000,5270,76.764
Bulgaria,BGR,45055288745.261,973062,608,2.23120999336243,31.32200050354,1.5,15.3546090092674,34.7402358142962,51.8999876658503,1.92876351348486,6541000,108560,74.3146341463415
Burkina Faso,BFA,8573639520.07681,125693.696444909,748,33.9258117675781,17.0550003051758,5.693,27.0444354870158,20.2097953216374,3.72503491597675,0.506903054066763,237000,273600,58.377
Burundi,BDI,1771918846.85734,,1274,,2.45300006866455,6.058,68.7927129464721,10.2102803738318,1.21999994477793,5.36497380283292,147000,25680,55.807
Cabo Verde,CPV,1305524771.82225,597982.600368215,228,12.9066495895386,6.70800018310547,2.528,87.0898099793368,21.5930521091811,34.74,10.8953867765025,482000,4030,72.127
Cambodia,KHM,11840023481.7367,508688.509386018,1904,2.59325003623962,25.242000579834,2.739,3.50671980840225,55.739859506005,4.94,,3584000,176520,67.466
Cameroon,CMR,23456383797.5465,248027.2,1604,5.86536979675293,9.03499984741211,4.984,17.1561189563303,41.2007361807451,7.5,4.17410119150193,817000,472710,56.241
Canada,CAN,1482640897487.49,70467400.7928687,537,0.529410004615784,19.9220008850098,1.6142,10.569621658085,38.1820441171781,83,1.57016885475523,16344000,9093510,81.583512195122
Cayman Islands,CYM,,,,,,,,52.9166666666667,69.7,,322000,240,
Central African Republic,CAF,1921613530.3644,,1343,31.6477794647217,6.90500020980835,5.123,0.435470353828477,35.6621400365983,3,,70800,622980,49.041
Chad,TCD,9058550087.73169,52041.6,322,,6.04699993133545,6.372,,4.17312579415502,2.10000000005453,,86000,1259200,51.3
Channel Islands,CHI,,,,,30.0699996948242,1.451,,4.21052631578947,,,,190,80.494
Chile,CHL,198788749090.108,12892856,1522,8.5031099319458,23.8299999237061,1.834,18.6968018626083,22.6387028399585,55.05,2.50725804988704,3554000,743532,78.758
China,CHN,6763608557369.06,318475924,645,,29.4839992523193,1.599,2.74637737462323,21.6968600300952,42.3001174855995,0.820681452414984,57725000,9388211,75.602
Colombia,COL,288955680204.516,22012458.8443775,3240,5.64934015274048,20.5949993133545,1.948,9.23080316110818,52.8002613789995,48.98,35.0671560568433,2175000,1109500,73.673
Comoros,COM,512301672.89912,,900,,14.9329996109009,4.628,82.9843532291712,20.5265986029017,5.97529630842855,,22800,1861,62.596
"Congo, Dem. Rep.",COD,18329479659.9404,471536.204614927,1543,,11.8669996261597,6.432,,67.7145188681326,1.679961014645,,167000,2267050,57.894
"Congo, Rep.",COG,2115400617.60473,703966.421078759,1646,12.7795400619507,23.4120006561279,4.876,0.209504428761755,65.5349926793558,6.10669502435836,,204000,341500,62.169
Costa Rica,CRI,41940793549.3677,1770111.37834698,2926,0.529789984226227,18.1730003356934,1.866,34.0036507362062,52.2013317665492,47.5,8.7449362092356,2343000,51060,79.077
Cote d'Ivoire,CIV,24321559639.4563,39485.4722019258,1348,,6.19799995422363,5.16,46.7552573461498,32.711320754717,5,,289000,318000,51.463
Croatia,HRV,45651289213.7156,1872799,1113,1.48918998241425,27.9120006561279,1.51,12.9060602297906,34.3245175125089,61.9399731527956,1.18700550165413,10369000,55960,76.9243902439024
Cuba,CUB,62322227962.2872,1313502.68398397,1335,0.399729996919632,19.1870002746582,1.685,,28.5507613974767,21.2,5.45591314678269,2815000,106449,79.167
Curacao,CUW,,,,,,2.2,,,,,421000,444,
Cyprus,CYP,21184376700.6539,1285976,498,1.82365000247955,20.1709995269775,1.388,36.4309385806901,18.6991341991342,60.6898684001903,1.93822011484835,2465000,9240,79.81
Czech Republic,CZE,149290945201.256,3594882,677,,38.1230010986328,1.45,4.7228699689016,34.4555224653632,73.4300078241036,0.99180532656135,7647000,77230,78.0756097560976
Denmark,DNK,272634354778.913,,703,1.76119005680084,19.7089996337891,1.73,18.1742929286114,14.2210050011908,92.2600117153012,0.837691109423847,8443000,41990,80.0512195121951
Djibouti,DJI,,,220,,27.5629997253418,3.131,,0.241587575496117,8.26723289204519,,60000,23180,61.31
Dominica,DMA,389994313.624837,,2083,,,,13.7422524128288,58.84,49.8,,79000,750,
Dominican Republic,DOM,54925431664.5917,28442.05,1410,10.6805200576782,18.1520004272461,2.539,23.7039167331455,38.9857172428069,42.32,22.3339356668423,4563000,48310,73.098
Ecuador,ECU,69998390641.8371,4758406.30677172,2274,3.26374006271362,17.5200004577637,2.599,28.5585329006995,51.473989370269,35.1351464545516,12.4710872466369,1272000,248360,75.449
"Egypt, Arab Rep.",EGY,236519150033.225,9081175.14629562,51,3.12930989265442,24.8600006103516,3.306,14.3245715668766,0.0715254407554372,26.4,2.51328794238893,11196000,995450,70.742
El Salvador,SLV,20972766985.2604,2523296,1784,5.04391002655029,20.9790000915527,2.187,22.9466207197127,13.4266409266409,20.3213877242007,41.6958274917918,1255000,20720,72.479
Equatorial Guinea,GNQ,4776401298.58715,316620.85,2156,52.8469009399414,9.66800022125244,5.04,,57.1408199643494,13.9431821913076,,,28050,56.601
Eritrea,ERI,,,384,53.7517204284668,7.20100021362305,4.444,,15.0811881188119,0.8,,129000,101000,63.22
Estonia,EST,18578368687.736,914519,626,0.398160010576248,31.1040000915527,1.56,9.44920314667517,52.6822363765039,78.3899259259259,4.75495383166256,2744000,42390,76.3268292682927
Eswatini,SWZ,4158528739.2505,,788,20.554479598999,13.2760000228882,3.355,,33.2674418604651,20.7817825772944,,888000,17200,54.158
Ethiopia,ETH,32537408971.3513,5001121.86524561,848,20.5098896026611,7.27299976348877,4.677,80.3487967731872,12.3772,2.9,,597000,1000000,63.275
Faroe Islands,FRO,,,,,,2.6,,0.0573065902578797,85.3351892392109,,,1396,81.1878048780488
Fiji,FJI,3336177619.67051,1225268.56188571,2592,1.31260001659393,13.3509998321533,2.615,66.0247640854433,54.8779419813903,33.7423567521104,2.28938777192203,661000,18270,69.625
Finland,FIN,208152509758.651,10731828.4925915,536,0.886629998683929,22.7849998474121,1.8,2.90954531738195,73.1119813090263,89.879997974222,1.62572187593525,2778000,303890,80.6268292682927
France,FRA,2235197093697.6,64683769.0243213,867,1.1391099691391,21.7600002288818,2.01,12.6115895427894,30.4077931612599,81.44,1.23193206246656,81980000,547557,81.9682926829268
French Polynesia,PYF,,,,,17.3880004882813,2.075,27.1240927663428,42.3497267759563,52.8766305867993,,169000,3660,76.065
Gabon,GAB,8660007805.30438,42729.3194712764,1831,,12.960000038147,4.01,,86.93289866884,24,,,257670,64.119
"Gambia, The",GMB,601197198.763897,11284,836,27.7434692382813,15.9069995880127,5.638,54.994394557037,47.7470355731225,12.4492287209242,,157000,10120,60.187
Georgia,GEO,13853667105.3504,178363,1026,1.96898996829987,11.4849996566772,1.98,29.2538236432085,40.6159159591308,36.94,,4428000,69490,72.742
Germany,DEU,2991996660204.1,105978474.526384,700,0.432029992341995,28.193000793457,1.41,5.60559519515876,32.7451655477133,82.3499984738392,0.812915583046494,30411000,348540,80.5390243902439
Ghana,GHA,27755671937.1347,691271.96142731,1187,19.0662803649902,14.96399974823,4.192,30.322556259484,40.6601037180276,10.6,,903000,227540,61.561
Gibraltar,GIB,,,,,,,,0,65.017,,,10,
Greece,GRC,199412848589.975,8785275.45592775,652,5.49004983901978,16.5429992675781,1.34,17.1280169682999,30.7478665632273,55.0699934418411,1.4589229264201,15518000,128900,80.6341463414634
Greenland,GRL,,,,,,2.019,88.8534374510676,0.000535997076379583,64.8960100995989,14.1668142376483,,410450,71.2990243902439
Grenada,GRD,,,2350,,,2.194,,49.9705882352941,32,13.2725324940037,125000,340,73.044
Guam,GUM,,,,,16.0510005950928,2.427,,46.2962962962963,61.5341593079002,,1308000,540,78.689
Guatemala,GTM,42359513327.2864,288013.900825685,1996,7.77069997787476,19.4979991912842,3.219,44.1977627468248,34.053751399776,16,33.7566701346652,1491000,107160,72.227
Guinea,GIN,5208812785.15171,,1651,24.5640697479248,5.90999984741211,5.175,,26.338922350643,3.1,,96000,245720,57.782
Guinea-Bissau,GNB,825504975.399111,,1577,,6.83500003814697,4.923,,71.1948790896159,2.89399062085531,,35400,28120,55.807
Guyana,GUY,2353052820.72305,247780.347691014,2387,4.3756799697876,25.1790008544922,2.606,59.1322561151021,84.1046482092964,30.5,18.457264792701,177000,196850,66.216
Haiti,HTI,7502330320.8924,,1440,,11.331000328064,3.169,,3.6066763425254,9.8,10.0396434711703,349000,27560,62.078
Honduras,HND,15999367803.6399,422016.887644915,1976,14.1671199798584,19.9270000457764,2.694,56.93261031342,44.2577531504156,18.12,84.3204619613842,895000,111890,72.805
"Hong Kong SAR, China",HKG,,32247332.0776827,,0.685220003128052,12.7589998245239,1.285,10.3704124076798,,72.9,0.379939263190823,23770000,1050,83.4804878048781
Hungary,HUN,98284086541.9225,12289555.0764284,589,3.87729001045227,29.7919998168945,1.34,9.1287166369677,22.7018667844913,70.579998153838,1.25637254445026,4164000,90530,75.0634146341463
Iceland,ISL,10436018280.2364,2400160,1940,1.74811005592346,18.2240009307861,2.04,44.5811665110226,0.451870324189526,96.2097995545657,0.307195124198989,673000,100250,82.9170731707317
India,IND,1576876753564.77,72151828.8895485,1083,3.00229001045227,24.3549995422363,2.475,10.5430952838809,23.5931104302113,12.5800609138955,3.75894890395628,6578000,2973190,67.377
Indonesia,IDN,685503857567.653,79405799.80957,2702,4.00530004501343,21.0699996948242,2.455,17.9167672166517,51.3715727242116,14.52,0.585013296516497,8044000,1811570,68.509
"Iran, Islamic Rep.",IRN,475142398365.289,17687478.5197214,228,0.350859999656677,34.9589996337891,1.742,,6.56449077826076,22.73,,3834000,1628760,74.787
Iraq,IRQ,170073801247.962,784944.25303469,216,,18.9810009002686,4.542,0.0151052122033691,1.89952109044023,7.1,8.22843853922364,1111000,434320,68.963
Ireland,IRL,149448219667.895,92637189.1903926,1118,0.530749976634979,18.2950000762939,2,10.0582167806878,10.6980693859776,76.919992540097,1.13293446914645,7550000,68890,80.8463414634146
Isle of Man,IMN,,,,,,,,6.07017543859649,,2.45682136451859,,570,
Israel,ISR,215946965351.165,5381980,435,2.33555006980896,17.8640003204346,3.05,3.14129485805322,7.31977818853974,70.8,1.74046204071772,2886000,21640,81.7048780487805
Italy,ITA,1688120863486.81,31072962.155732,832,0.686699986457825,27.5830001831055,1.43,7.97237133838623,31.0586795403549,55.829997993283,0.887269348891953,46360000,294140,82.2390243902439
Jamaica,JAM,13409990612.6803,0,2051,,15.4650001525879,2.102,22.4865787323374,31.056325023084,33.79,38.6836710557439,1986000,10830,75.334
Japan,JPN,4926845518157.39,98907859,1668,1.06599998474121,26.1959991455078,1.41,0.579003854249286,68.4737766074172,79.4964,0.334043509315033,8358000,364560,83.0960975609756
Jordan,JOR,27804378257.3576,3438356,111,,26.4150009155273,3.604,18.5366958349735,1.09822031989187,37,2.01437009083308,4162000,88780,73.729
Kazakhstan,KAZ,134974243536.784,4064819.02272334,250,0.643480002880096,19.3819999694824,2.62,3.37759622347862,1.22569174352706,61.9066274652008,7.48174816896624,6163000,2699700,69.61
Kenya,KEN,42373700725.0073,4653459.73514364,630,16.8809509277344,15.1909999847412,4.165,,7.56088132972555,10.5,5.44019103972497,1619000,569140,64.907
Kiribati,KIR,255259626.692993,,630,,,3.796,87.6663420743974,15,10.7467976841839,7.50377533696641,4900,810,65.623
"Korea, Dem. People’s Rep.",PRK,,100113.348581399,1054,,17.568000793457,1.957,,44.9464330205132,0,,,120410,70.448
"Korea, Rep.",KOR,997916788385.015,39969577.0157166,1274,2.67494988441467,24.4769992828369,1.297,1.17419237360453,63.7575757575758,84.07,0.822785859229868,11140000,97350,80.819512195122
Kosovo,XKX,,,,,,2.19,,,,4.98559716374917,,10887,70.4975609756098
Kuwait,KWT,147595138517.499,3481039,121,1.62767004966736,25.7049999237061,2.094,,0.350729517396184,70.45,1.79646573344689,300000,17820,74.217
Kyrgyz Republic,KGZ,5373583352.87936,494640.426821988,533,1.57727003097534,21.7070007324219,3.2,24.7172082770156,3.44629822732013,19.8,5.38066122427383,2406000,191800,70.0024390243902
Lao PDR,LAO,7227813583.33218,877949.881372257,1834,5.25568008422852,9.42599964141846,2.974,17.439978402796,78.8297227036395,10.747676189122,,2291000,230800,65.208
Latvia,LVA,20933903311.9847,2888683,641,1.71243000030518,23.4769992828369,1.44,19.2578185318113,53.9530395625603,73.1199437663748,3.38757649873643,1435000,62180,73.7780487804878
Lebanon,LBN,36014873037.7601,2148669,661,9.72791004180908,21,1.671,19.9132434093008,13.3978494623656,61.249785718304,3.94597352048367,1366000,10230,78.86
Lesotho,LSO,2607698169.90775,,788,18.3928108215332,40.0550003051758,3.253,14.3406833931722,1.51515151515152,10,30.6709130649477,423000,30360,52.158
Liberia,LBR,943677018.697677,,2391,,11.8819999694824,4.868,,44.3210132890365,2.6,3.2284578756795,,96320,60.615
Libya,LBY,,1398125.13429558,56,,26.7689990997314,2.391,,0.123327687918433,,,,1759540,71.574
Liechtenstein,LIE,,,56,1.52070999145508,,1.51,,43.125,89.4077,0,53600,160,82.3829268292683
Lithuania,LTU,35841160085.0815,592996,656,2.11649990081787,25.0830001831055,1.6,17.5903104507671,34.687430194339,67.2299893276414,6.65076190733316,1900000,62674,73.8634146341464
Luxembourg,LUX,31456972443.9022,781146,934,4.38119983673096,12.6719999313354,1.57,9.0091421022763,33.4749034749035,91.9499237417387,0,950000,2590,81.3926829268293
"Macao SAR, China",MAC,,1561850,,12.4978704452515,12.8830003738403,1.16,3.35465280784941,,61.31,0.711071923147347,13577000,29.9,83.155
"Macedonia, FYR",MKD,7415190009.86424,,619,10.2877798080444,29.8689994812012,1.487,14.8562090234945,39.5717684377478,57.449947312961,1.39823995340486,351000,25220,75.019
Madagascar,MDG,8947318583.77339,588169,1513,,7.68900012969971,4.442,32.8473212840702,21.5213262403424,2.3,,256000,581795,64.28
Malawi,MWI,4334805038.82446,53518.9979970389,1181,,8.12800025939941,4.992,74.9932796205809,33.9520577004667,4.3506,1.73320937883702,770000,94280,59.927
Malaysia,MYS,239327634473.512,39165195.2176778,2875,0.702040016651154,28.5699996948242,2.11,12.5409260897646,67.4247450920712,65.8,2.06373187995416,25033000,328550,74.606
Maldives,MDV,2856708037.56341,,1972,,20.3449993133545,2.209,98.1673197891222,3.33333333333333,38.9301,2.58931183859266,958000,300,76.401
Mali,MLI,8781525617.70378,181742.614202486,282,33.0354690551758,9.24600028991699,6.396,20.3233713239415,4.05838434997828,2.8,,134000,1220190,56.122
Malta,MLT,,1535101,560,1.990110039711,22.261999130249,1.43,4.66867821807458,1.09375,68.1998742928975,2.85178557424267,1443000,320,80.7463414634146
Marshall Islands,MHL,,,560,,,,,70.2222222222222,12.5,,4600,180,
Mauritania,MRT,3244648446.09006,325239.52355014,92,30.4049701690674,8.41699981689453,4.897,26.7208097386605,0.228000388085767,5,,,1030700,62.492
Mauritius,MUS,9907778098.07276,1313976,2041,6.20807981491089,28.0100002288818,1.54,36.0350190178884,18.9556650246305,35.42,2.31376025135415,965000,2030,73.8634146341464
Mexico,MEX,987091312713.751,32909408.724554,758,1.04473996162415,23.757999420166,2.295,5.88180557307071,34.1134288433344,39.75,21.4908249935175,23403000,1943950,76.412
"Micronesia, Fed. Sts.",FSM,,,758,,,3.347,,91.6857142857143,25.9744230029883,,38300,700,68.765
Moldova,MDA,7614048001.56585,543872,450,9.47183036804199,19.2789993286133,1.269,58.3511023791593,12.0267802799757,43.37,5.62142110016366,89000,32860,70.577
Monaco,MCO,,65404.3636363636,,,,,,,87,0,292000,2,
Mongolia,MNG,9204974638.72019,626469.96653678,241,2.48766994476318,18.1720008850098,2.774,,8.26787507402353,16.4,7.07121602884772,476000,1553560,68.215
Montenegro,MNE,3695516850.88996,544519,241,3.71995997428894,17.3719997406006,1.725,,61.4869888475836,56.8387825490631,2.71398147468175,1264000,13450,76.089
Morocco,MAR,85186947442.8523,6563646.6759083,346,7.23471021652222,21.3850002288818,2.583,17.2300787948419,12.6730898498768,55.4160531914894,1.14898429338471,9375000,446300,74.717
Mozambique,MOZ,12135802732.3386,559608.795668202,1032,13.666449546814,3.94600009918213,5.472,16.4860974263035,49.0338004527073,6,,2113000,786380,55.878
Myanmar,MMR,54730386233.7666,1663425.4345762,2091,,15.7309999465942,2.322,33.5160458293124,46.9726709025492,4,2.81643102723202,1059000,653150,65.805
Namibia,NAM,11065913575.0652,632330.085,285,11.5245599746704,13.8839998245239,3.586,27.6983800132435,8.67446464793694,12.9414,17.1383088022884,1079000,823290,60.815
Nauru,NRU,,19334.8478455911,285,23.0600299835205,,,,0,,0,,20,
Nepal,NPL,17577497430.1103,776864.1215957,1500,0.414609998464584,7.46299982070923,2.38,23.9812934334364,25.364492500872,11.1493,2.32188694906044,803000,143350,68.732
Netherlands,NLD,699343557114.619,31672223.9759589,778,1.24586999416351,17.2059993743896,1.72,14.6995936820901,11.0972716488731,92.859992359525,0.863655843272076,11680000,33720,81.1048780487805
New Caledonia,NCL,,,,,32.2610015869141,2.28,1.85062291344259,45.8971553610503,58,,112000,18280,77.0690703645998
New Zealand,NZL,142190776114.382,13937353.9431784,1732,,20.2779998779297,2.1,56.5352245870943,38.5530363449926,81.644470179502,0.917689312030705,2473000,263310,81.1560975609756
Nicaragua,NIC,9174443801.93781,,2280,,17.3150005340576,2.34,53.8999919973979,25.8766827322586,13.5,11.4512103572029,1180000,120340,74.319
Niger,NER,5835117385.37643,119652,151,38.712329864502,7.4689998626709,7.42,15.7388734201694,0.930922870450778,1.05,4.44403488138769,94000,1266700,58.16
Nigeria,NGA,360531046832.934,4716148.08073056,1150,,12.3780002593994,5.758,5.33867566518836,9.02730656477486,16.1,,486000,910770,51.699
Northern Mariana Islands,MNP,,,,,,,,65.195652173913,,,401000,460,
Norway,NOR,393235543600.326,,1414,0.310849994421005,20.2299995422363,1.85,6.01651647047358,33.1448753576367,94.6499780533304,0.538706350569742,4538000,365245,81.4512195121951
Oman,OMN,38001301845.1448,4430383,125,2.46831011772156,37.7439994812012,2.878,2.07041983504858,0.00646203554119548,60,1.12565677743514,1241000,309500,76.141
Pakistan,PAK,218914034585.142,7973906.36067277,494,28.9414005279541,22.7840003967285,3.744,17.10068818683,2.07684723951847,9.96,7.78251964137704,966000,770880,65.686
Palau,PLW,,,494,,,2.23,86.0744504987173,87.6086956521739,,3.11242942480008,120000,460,
Panama,PAN,35794291133.8172,7517581.27701275,2928,5.35368013381958,18.2430000305176,2.601,2.87951066340564,62.7683615819209,40.3018952210488,16.8833943202883,1606000,74340,77.216
Papua New Guinea,PNG,16097249806.4049,1630308.43210537,3142,14.5968704223633,7.30800008773804,3.869,27.137740486624,74.1231285607031,3.5,,168000,452860,64.937
Paraguay,PRY,19645978912.2183,794176,1130,10.8022203445435,16.878999710083,2.625,56.8004600903259,41.0249181978354,29.34,10.1736591893146,579000,397300,72.638
Peru,PER,153742806694.16,10074855.6119232,1738,6.94351005554199,17.0319995880127,2.504,19.902852313742,58.18421875,38.2,6.52542265540536,2846000,1280000,74.088
Philippines,PHL,271205253363.817,28540727.3608103,2348,,15.2720003128052,3.067,8.98784902323026,24.5497534963276,36.2351,8.75843306305591,4273000,298170,68.553
Poland,POL,427125623017.68,4909100.39206908,600,4.68003988265991,30.4160003662109,1.33,12.0225259501687,30.6034876885899,62.3099972714691,0.983887113020496,14840000,306220,76.7463414634146
Portugal,PRT,171677125532.746,11338080,854,0.884639978408813,25.1490001678467,1.28,11.3581143096784,35.1151872475161,60.3399974868057,1.15292065515,7503000,91590,80.3731707317073
Puerto Rico,PRI,,,2054,16.0717105865479,13.3979997634888,1.5425,,54.7948139797069,68.9999826014151,27.1529239696493,3069000,8870,78.9264146341463
Qatar,QAT,120846187808.511,17187171,74,2.57419991493225,51.7789993286133,1.997,,0,69.3,0.331821491414356,2323500,11610,77.59
Romania,ROU,134114084153.108,3593312,637,8.01842021942139,28.2070007324219,1.52,8.50427550425235,28.9253108425354,45.8799942529424,1.87395380208123,7937000,230020,74.4121951219512
Russian Federation,RUS,1744611816851.34,58727125,460,2.67346000671387,27.7679996490479,1.691,3.19516604868227,49.7685797102865,63.8,,28177000,16376870,70.0721951219512
Rwanda,RWA,5886866461.75422,593198.45,1212,,6.86100006103516,4.269,51.1723487884762,18.6299148763681,8.02385427694765,2.37281942760736,815000,24670,64.911
Samoa,WSM,677960937.882503,,1583,3.89081001281738,14.7849998474121,4.212,30.5900117544663,60.4240282685512,12.92249,,126000,2830,73.875
San Marino,SMR,,,,6.93538999557495,,1.26,,0,,,139000,60,85.4170731707317
Sao Tome and Principe,STP,143845664.714822,,3200,,15.5150003433228,4.689,87.2463557212902,55.8333333333333,21.5724,,,960,66.125
Saudi Arabia,SAU,573315785852.479,26537661,59,0.464949995279312,22.6520004272461,2.779,0.860627791554576,0.454484134921779,54,,16332000,2149690,73.896
Senegal,SEN,12192050457.41,543987.6,686,25.2462291717529,20.681999206543,5.003,31.167593266685,43.5932062535709,10.8,,962000,192530,65.393
Serbia,SRB,32455797518.767,1240709,686,3.83585000038147,26.4570007324219,1.45,,31.0519094443174,48.1,1.23925642827988,810000,87460,74.8365853658537
Seychelles,SYC,967003127.52249,235994,2330,,,2.42,88.5437783215451,88.4130434782609,47.076,4.33439887305629,208000,460,74.2756097560976
Sierra Leone,SLE,3303344038.74706,50193,2526,6.74021005630493,6.45900011062622,4.923,,39.5289553893045,2.5,1.67008985822415,60000,72180,49.762
Singapore,SGP,240378350562.034,29138458.2737476,2497,,19.3980007171631,1.29,2.169332307818,23.1586402266289,72,0.2086907161848,11098000,706,81.9951219512195
Sint Maarten (Dutch part),SXM,,,,,,,,,,,457000,34,73.0536585365854
Slovak Republic,SVK,72779435094.5433,45111,824,,37.5359992980957,1.34,5.61181419164594,40.3302279154883,76.7099901181121,1.16299032502811,1528000,48088,76.109756097561
Slovenia,SVN,35776148312.3237,816630,1162,1.46875,30.9699993133545,1.58,3.82217851754744,61.9364448857994,68.3499745287825,0.679483010498013,2156000,20140,80.1243902439024
