Time	"Time Code"	"Country Name"	"Country Code"	"Adjusted net national income (current US$) [NY.ADJ.NNTY.CD]"	"Air transport, passengers carried [IS.AIR.PSGR]"	"Average precipitation in depth (mm per year) [AG.LND.PRCP.MM]"	"Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS]"	"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"	"Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN]"	"Forest area (% of land area) [AG.LND.FRST.ZS]"	"Individuals using the Internet (% of population) [IT.NET.USER.ZS]"	"Land area (sq. km) [AG.LND.TOTL.K2]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"GDP (current US$) [NY.GDP.MKTP.CD]"	"International tourism, number of arrivals [ST.INT.ARVL]"
2012	"YR2012"	"Aruba"	"ABW"	""	""	""	""	"1.791"	"76.4633395703071"	"2.33333333333333"	"74"	"180"	"75.299"	""	"904000"
2012	"YR2012"	"Australia"	"AUS"	"1191336758643.4"	"66355274"	"534"	"20.7189998626709"	"1.917"	"12.7825812456057"	"16.1184801426656"	"79"	"7682300"	"82.0463414634146"	"1543411012579.91"	"6032000"
2012	"YR2012"	"Austria"	"AUT"	"337174351417.638"	"14518841.0529716"	"1110"	"26.0799999237061"	"1.44"	"7.11683356172506"	"46.8008818470335"	"80.0299939169903"	"82554"	"80.9365853658537"	"409425234155.263"	"24151000"
2012	"YR2012"	"Azerbaijan"	"AZE"	"47884928367.2703"	"1560084"	"447"	"14.2869997024536"	"2"	"3.47769507187042"	"12.8328776403978"	"54.2"	"82658"	"71.478"	"69683935845.2138"	"1986000"
2012	"YR2012"	"Bahamas, The"	"BHS"	"9766175847.11319"	"1048391.0668218"	"1292"	"13.4569997787476"	"1.827"	"24.3746103066396"	"51.4485514485514"	"71.7482028146963"	"10010"	"75.079"	"10720500000"	"1422000"
2012	"YR2012"	"Bahrain"	"BHR"	"23144994960.2626"	"5861786.99900694"	"83"	"35.064998626709"	"2.118"	"2.5917780937043"	"0.727272727272727"	"88"	"770"	"76.341"	"30749308510.6383"	"8062000"
2012	"YR2012"	"Bangladesh"	"BGD"	"131482748847.952"	"2195061.68029907"	"2666"	"18.7880001068115"	"2.236"	"2.6439933995634"	"11.0378735499731"	"5"	"130170"	"71.039"	"133355749482.478"	"125000"
2012	"YR2012"	"Barbados"	"BRB"	"3926282569.50006"	""	"1422"	"19.1690006256104"	"1.788"	"31.4530995120168"	"14.6511627906977"	"71.2"	"430"	"75.292"	"4656350000"	"536000"
2012	"YR2012"	"Belarus"	"BLR"	"58390745443.1293"	"943081"	"618"	"34.7879981994629"	"1.62"	"9.80999908054581"	"42.2542013700655"	"46.91"	"202910"	"71.9658536585366"	"65685102554.8759"	"6129900"
2012	"YR2012"	"Belgium"	"BEL"	"411931457842.146"	"9508165.31494536"	"847"	"21.7560005187988"	"1.79"	"9.21518004600941"	"22.5257595772787"	"80.7199905482042"	"30280"	"80.3853658536585"	"497884216568.867"	"7560000"
2012	"YR2012"	"Belize"	"BLZ"	"1140244368.96113"	"448015.914026667"	"1705"	"17.7779998779297"	"2.642"	"68.6336529491165"	"60.5589653660675"	"31"	"22810"	"69.798"	"1573670250"	"277000"
2012	"YR2012"	"Benin"	"BEN"	"6832146671.64017"	"58314.1"	"1039"	"17.8339996337891"	"5.246"	"40.3401794029738"	"39.5619013834693"	"4.5"	"112760"	"59.855"	"8152554487.31321"	"220000"
2012	"YR2012"	"Bermuda"	"BMU"	""	""	""	""	"1.59"	"23.5409415200407"	"20"	"91.2993045243401"	"50"	"81.6778048780488"	"5537537000"	"232000"
2012	"YR2012"	"Bhutan"	"BTN"	"1499592086.08946"	"193405"	"2200"	"8.64700031280518"	"2.236"	"6.936412173101"	"71.4943463546449"	"15.6"	"38117"	"68.639"	"1823692109.61652"	"105000"
2012	"YR2012"	"Bolivia"	"BOL"	"20329425961.0418"	"2206069.76066974"	"1146"	"20.5979995727539"	"3.072"	"14.5220654717194"	"51.3532724083818"	"35.34"	"1083300"	"67.451"	"27084497539.7974"	"798000"
2012	"YR2012"	"Bosnia and Herzegovina"	"BIH"	"14841853014.5141"	"24874.0896320184"	"1028"	"29.0049991607666"	"1.314"	"7.4380191601867"	"42.67578125"	"45.0645004334763"	"51200"	"76.223"	"17226849297.07"	"439000"
2012	"YR2012"	"Botswana"	"BWA"	"11445165401.508"	"415130.020977764"	"416"	"13.8739995956421"	"2.863"	"2.0384064290517"	"19.6682723695587"	"16"	"566730"	"62.425"	"14686278707.4589"	"1614000"
2012	"YR2012"	"Brazil"	"BRA"	"2071000094891.7"	"94752568"	"1761"	"23.0139999389648"	"1.777"	"32.1932383857098"	"59.4019722091279"	"48.56"	"8358140"	"74.488"	"2465188674415.03"	"5677000"
2012	"YR2012"	"British Virgin Islands"	"VGB"	""	""	""	""	""	""	"24.2"	"37.6"	"150"	""	""	"351000"
2012	"YR2012"	"Brunei Darussalam"	"BRN"	"13521479922.6967"	"1044170"	"2722"	"19.57200050354"	"1.874"	"0.046009564385162"	"72.1062618595825"	"60.2730650423193"	"5270"	"76.764"	"19048495518.5659"	"209000"
2012	"YR2012"	"Bulgaria"	"BGR"	"45055288745.261"	"973062"	"608"	"31.32200050354"	"1.5"	"15.3546090092674"	"34.7402358142962"	"51.8999876658503"	"108560"	"74.3146341463415"	"53903022339.0276"	"6541000"
2012	"YR2012"	"Burkina Faso"	"BFA"	"8573639520.07681"	"125693.696444909"	"748"	"17.0550003051758"	"5.693"	"27.0444354870158"	"20.2097953216374"	"3.72503491597675"	"273600"	"58.377"	"11166063466.5623"	"237000"
2012	"YR2012"	"Burundi"	"BDI"	"1771918846.85734"	""	"1274"	"2.45300006866455"	"6.058"	"68.7927129464721"	"10.2102803738318"	"1.21999994477793"	"25680"	"55.807"	"2472384906.99793"	"147000"
2012	"YR2012"	"Cabo Verde"	"CPV"	"1305524771.82225"	"597982.600368215"	"228"	"6.70800018310547"	"2.528"	"87.0898099793368"	"21.5930521091811"	"34.74"	"4030"	"72.127"	"1751888561.72747"	"482000"
2012	"YR2012"	"Cambodia"	"KHM"	"11840023481.7367"	"508688.509386018"	"1904"	"25.242000579834"	"2.739"	"3.50671980840225"	"55.739859506005"	"4.94"	"176520"	"67.466"	"14054443213.4639"	"3584000"
2012	"YR2012"	"Cameroon"	"CMR"	"23456383797.5465"	"248027.2"	"1604"	"9.03499984741211"	"4.984"	"17.1561189563303"	"41.2007361807451"	"7.5"	"472710"	"56.241"	"29104437355.0395"	"817000"
2012	"YR2012"	"Canada"	"CAN"	"1482640897487.49"	"70467400.7928687"	"537"	"19.9220008850098"	"1.6142"	"10.569621658085"	"38.1820441171781"	"83"	"9093510"	"81.583512195122"	"1824288757447.57"	"16344000"
2012	"YR2012"	"Caribbean small states"	"CSS"	"53978201176.095"	"5920044.89645018"	""	"20.0315588618703"	"2.10782668455336"	"12.1528143084963"	"85.2103742126714"	"42.552482473104"	"404850"	"72.6191798536699"	"70576655404.2623"	"6029000"
2012	"YR2012"	"Cayman Islands"	"CYM"	""	""	""	""	""	""	"52.9166666666667"	"69.7"	"240"	""	""	"322000"
2012	"YR2012"	"Central African Republic"	"CAF"	"1921613530.3644"	""	"1343"	"6.90500020980835"	"5.123"	"0.435470353828477"	"35.6621400365983"	"3"	"622980"	"49.041"	"2169706564.05899"	"70800"
2012	"YR2012"	"Central Europe and the Baltics"	"CEB"	"1083430332364.61"	"32490649.4684975"	""	"30.8589645606986"	"1.41572508466985"	"8.98324375068463"	"33.8607526141494"	"61.7286949263486"	"1103992"	"75.993488603453"	"1351505878828.8"	"61261000"
2012	"YR2012"	"Chad"	"TCD"	"9058550087.73169"	"52041.6"	"322"	"6.04699993133545"	"6.372"	""	"4.17312579415502"	"2.10000000005453"	"1259200"	"51.3"	"12368071038.7362"	"86000"
2012	"YR2012"	"Channel Islands"	"CHI"	""	""	""	"30.0699996948242"	"1.451"	""	"4.21052631578947"	""	"190"	"80.494"	""	""
2012	"YR2012"	"Chile"	"CHL"	"198788749090.108"	"12892856"	"1522"	"23.8299999237061"	"1.834"	"18.6968018626083"	"22.6387028399585"	"55.05"	"743532"	"78.758"	"267122320056.702"	"3554000"
2012	"YR2012"	"China"	"CHN"	"6763608557369.06"	"318475924"	"645"	"29.4839992523193"	"1.599"	"2.74637737462323"	"21.6968600300952"	"42.3001174855995"	"9388211"	"75.602"	"8560547314679.28"	"57725000"
2012	"YR2012"	"Colombia"	"COL"	"288955680204.516"	"22012458.8443775"	"3240"	"20.5949993133545"	"1.948"	"9.23080316110818"	"52.8002613789995"	"48.98"	"1109500"	"73.673"	"369659700375.52"	"2175000"
2012	"YR2012"	"Comoros"	"COM"	"512301672.89912"	""	"900"	"14.9329996109009"	"4.628"	"82.9843532291712"	"20.5265986029017"	"5.97529630842855"	"1861"	"62.596"	"570865941.229395"	"22800"
2012	"YR2012"	"Congo, Dem. Rep."	"COD"	"18329479659.9404"	"471536.204614927"	"1543"	"11.8669996261597"	"6.432"	""	"67.7145188681326"	"1.679961014645"	"2267050"	"57.894"	"29306223081.1458"	"167000"
2012	"YR2012"	"Congo, Rep."	"COG"	"2115400617.60473"	"703966.421078759"	"1646"	"23.4120006561279"	"4.876"	"0.209504428761755"	"65.5349926793558"	"6.10669502435836"	"341500"	"62.169"	"13677930123.5919"	"204000"
2012	"YR2012"	"Costa Rica"	"CRI"	"41940793549.3677"	"1770111.37834698"	"2926"	"18.1730003356934"	"1.866"	"34.0036507362062"	"52.2013317665492"	"47.5"	"51060"	"79.077"	"46473128285.5589"	"2343000"
2012	"YR2012"	"Cote d'Ivoire"	"CIV"	"24321559639.4563"	"39485.4722019258"	"1348"	"6.19799995422363"	"5.16"	"46.7552573461498"	"32.711320754717"	"5"	"318000"	"51.463"	"27040562587.1771"	"289000"
2012	"YR2012"	"Croatia"	"HRV"	"45651289213.7156"	"1872799"	"1113"	"27.9120006561279"	"1.51"	"12.9060602297906"	"34.3245175125089"	"61.9399731527956"	"55960"	"76.9243902439024"	"56565475274.7722"	"10369000"
2012	"YR2012"	"Cuba"	"CUB"	"62322227962.2872"	"1313502.68398397"	"1335"	"19.1870002746582"	"1.685"	""	"28.5507613974767"	"21.2"	"106449"	"79.167"	"73141000000"	"2815000"
2012	"YR2012"	"Curacao"	"CUW"	""	""	""	""	"2.2"	""	""	""	"444"	""	""	"421000"
2012	"YR2012"	"Cyprus"	"CYP"	"21184376700.6539"	"1285976"	"498"	"20.1709995269775"	"1.388"	"36.4309385806901"	"18.6991341991342"	"60.6898684001903"	"9240"	"79.81"	"25041372221.5084"	"2465000"
2012	"YR2012"	"Czech Republic"	"CZE"	"149290945201.256"	"3594882"	"677"	"38.1230010986328"	"1.45"	"4.7228699689016"	"34.4555224653632"	"73.4300078241036"	"77230"	"78.0756097560976"	"207376427020.815"	"7647000"
2012	"YR2012"	"Denmark"	"DNK"	"272634354778.913"	""	"703"	"19.7089996337891"	"1.73"	"18.1742929286114"	"14.2210050011908"	"92.2600117153012"	"41990"	"80.0512195121951"	"327148899962.146"	"8443000"
2012	"YR2012"	"Djibouti"	"DJI"	""	""	"220"	"27.5629997253418"	"3.131"	""	"0.241587575496117"	"8.26723289204519"	"23180"	"61.31"	"1353632941.5207"	"60000"
2012	"YR2012"	"Dominica"	"DMA"	"389994313.624837"	""	"2083"	""	""	"13.7422524128288"	"58.84"	"49.8"	"750"	""	"485998000"	"79000"
2012	"YR2012"	"Dominican Republic"	"DOM"	"54925431664.5917"	"28442.05"	"1410"	"18.1520004272461"	"2.539"	"23.7039167331455"	"38.9857172428069"	"42.32"	"48310"	"73.098"	"60657780260.6792"	"4563000"
2012	"YR2012"	"Early-demographic dividend"	"EAR"	"8346746182372.26"	"443984379.688308"	""	"22.0840649009877"	"2.67580817368871"	"11.1005447666985"	"22.1480576993108"	"18.1297456419876"	"33108957"	"68.6427759351782"	"10033183020177.6"	"188791079.815719"
2012	"YR2012"	"East Asia & Pacific"	"EAS"	"16813206516759.2"	"809282604.511398"	""	"26.4836280247167"	"1.80500169704656"	"5.52893243557153"	"26.2314439390423"	"40.7375318363548"	"24386956.9"	"74.7411842008234"	"21031415333115.5"	"221491503.829217"
2012	"YR2012"	"East Asia & Pacific (excluding high income)"	"EAP"	"8517454775181.13"	"526120730.201073"	""	"26.5944163928068"	"1.84444745148346"	"6.40521473117301"	"29.6673996050289"	"36.0611003033712"	"15913571"	"73.845817643227"	"10749712050822.1"	"134631328.172538"
2012	"YR2012"	"East Asia & Pacific (IDA & IBRD countries)"	"TEA"	"8501326270171.61"	"525964519.872814"	""	"26.7227574177484"	"1.84305125965116"	"6.40542499521593"	"29.5518577007477"	"36.5105275849203"	"15793421"	"73.888692613335"	"10728920394872.3"	"133049086.068935"
2012	"YR2012"	"Ecuador"	"ECU"	"69998390641.8371"	"4758406.30677172"	"2274"	"17.5200004577637"	"2.599"	"28.5585329006995"	"51.473989370269"	"35.1351464545516"	"248360"	"75.449"	"87924544000"	"1272000"
2012	"YR2012"	"Egypt, Arab Rep."	"EGY"	"236519150033.225"	"9081175.14629562"	"51"	"24.8600006103516"	"3.306"	"14.3245715668766"	"0.0715254407554372"	"26.4"	"995450"	"70.742"	"279372758361.832"	"11196000"
2012	"YR2012"	"El Salvador"	"SLV"	"20972766985.2604"	"2523296"	"1784"	"20.9790000915527"	"2.187"	"22.9466207197127"	"13.4266409266409"	"20.3213877242007"	"20720"	"72.479"	"21386153000"	"1255000"
2012	"YR2012"	"Equatorial Guinea"	"GNQ"	"4776401298.58715"	"316620.85"	"2156"	"9.66800022125244"	"5.04"	""	"57.1408199643494"	"13.9431821913076"	"28050"	"56.601"	"22389627294.4179"	""
2012	"YR2012"	"Eritrea"	"ERI"	""	""	"384"	"7.20100021362305"	"4.444"	""	"15.0811881188119"	"0.8"	"101000"	"63.22"	""	"129000"
2012	"YR2012"	"Estonia"	"EST"	"18578368687.736"	"914519"	"626"	"31.1040000915527"	"1.56"	"9.44920314667517"	"52.6822363765039"	"78.3899259259259"	"42390"	"76.3268292682927"	"23043864510.0543"	"2744000"
2012	"YR2012"	"Eswatini"	"SWZ"	"4158528739.2505"	""	"788"	"13.2760000228882"	"3.355"	""	"33.2674418604651"	"20.7817825772944"	"17200"	"54.158"	"4823831656.51644"	"888000"
2012	"YR2012"	"Ethiopia"	"ETH"	"32537408971.3513"	"5001121.86524561"	"848"	"7.27299976348877"	"4.677"	"80.3487967731872"	"12.3772"	"2.9"	"1000000"	"63.275"	"43310721414.0829"	"597000"
2012	"YR2012"	"Euro area"	"EMU"	"10422251034552.4"	"437876149.516337"	""	"24.4744386928653"	"1.55384621925896"	"9.46000174291878"	"38.0064364035456"	"74.0982022220353"	"2677893"	"81.2270979386238"	"12641932413656.3"	"307576000"
2012	"YR2012"	"Europe & Central Asia"	"ECS"	"18353728937137.4"	"749916268.946567"	""	"25.5685995121453"	"1.73833035642388"	"8.72026659299959"	"37.9845106334452"	"63.6031494060545"	"27440287"	"76.588404959959"	"22343569115289.3"	"537745663.82483"
2012	"YR2012"	"Europe & Central Asia (excluding high income)"	"ECA"	"3232116773008.96"	"146637092.428963"	""	"27.0815483539427"	"1.90079264883774"	"7.09927688972182"	"38.8692096357435"	"48.79947462429"	"22623195"	"71.6682039260765"	"4054552441559.32"	"143820626.413908"
2012	"YR2012"	"Europe & Central Asia (IDA & IBRD countries)"	"TEC"	"3704369157778.66"	"153418991.821032"	""	"27.3702059629408"	"1.85116588151948"	"8.01348056221582"	"38.7479686163191"	"50.0897316408393"	"22985375"	"72.1521325484734"	"4611478733661.98"	"158673911.678974"
2012	"YR2012"	"European Union"	"EUU"	"14332865090736.2"	"580528780.550501"	""	"24.6801160369864"	"1.58252387702195"	"9.19974870604223"	"37.7503195739737"	"73.8341400912639"	"4237673"	"80.2512221136288"	"17292774157162.6"	"401945000"
2012	"YR2012"	"Faroe Islands"	"FRO"	""	""	""	""	"2.6"	""	"0.0573065902578797"	"85.3351892392109"	"1396"	"81.1878048780488"	"2356495468.27795"	""
2012	"YR2012"	"Fiji"	"FJI"	"3336177619.67051"	"1225268.56188571"	"2592"	"13.3509998321533"	"2.615"	"66.0247640854433"	"54.8779419813903"	"33.7423567521104"	"18270"	"69.625"	"3972012570.53467"	"661000"
2012	"YR2012"	"Finland"	"FIN"	"208152509758.651"	"10731828.4925915"	"536"	"22.7849998474121"	"1.8"	"2.90954531738195"	"73.1119813090263"	"89.879997974222"	"303890"	"80.6268292682927"	"256706466091.089"	"2778000"
2012	"YR2012"	"Fragile and conflict affected situations"	"FCS"	"598430903116.85"	"15751678.364189"	""	"12.8342453966278"	"4.68634922941388"	""	"24.7319120921328"	"8.48173755400223"	"15309768"	"61.1985803288185"	"812460412982.903"	""
2012	"YR2012"	"France"	"FRA"	"2235197093697.6"	"64683769.0243213"	"867"	"21.7600002288818"	"2.01"	"12.6115895427894"	"30.4077931612599"	"81.44"	"547557"	"81.9682926829268"	"2683825225092.63"	"81980000"
2012	"YR2012"	"French Polynesia"	"PYF"	""	""	""	"17.3880004882813"	"2.075"	"27.1240927663428"	"42.3497267759563"	"52.8766305867993"	"3660"	"76.065"	""	"169000"
2012	"YR2012"	"Gabon"	"GAB"	"8660007805.30438"	"42729.3194712764"	"1831"	"12.960000038147"	"4.01"	""	"86.93289866884"	"24"	"257670"	"64.119"	"17171468468.5691"	""
2012	"YR2012"	"Gambia, The"	"GMB"	"601197198.763897"	"11284"	"836"	"15.9069995880127"	"5.638"	"54.994394557037"	"47.7470355731225"	"12.4492287209242"	"10120"	"60.187"	"910026155.731035"	"157000"
2012	"YR2012"	"Georgia"	"GEO"	"13853667105.3504"	"178363"	"1026"	"11.4849996566772"	"1.98"	"29.2538236432085"	"40.6159159591308"	"36.94"	"69490"	"72.742"	"15846474595.773"	"4428000"
2012	"YR2012"	"Germany"	"DEU"	"2991996660204.1"	"105978474.526384"	"700"	"28.193000793457"	"1.41"	"5.60559519515876"	"32.7451655477133"	"82.3499984738392"	"348540"	"80.5390243902439"	"3543983909148.01"	"30411000"
2012	"YR2012"	"Ghana"	"GHA"	"27755671937.1347"	"691271.96142731"	"1187"	"14.96399974823"	"4.192"	"30.322556259484"	"40.6601037180276"	"10.6"	"227540"	"61.561"	"41939728978.7281"	"903000"
2012	"YR2012"	"Gibraltar"	"GIB"	""	""	""	""	""	""	"0"	"65.017"	"10"	""	""	""
2012	"YR2012"	"Greece"	"GRC"	"199412848589.975"	"8785275.45592775"	"652"	"16.5429992675781"	"1.34"	"17.1280169682999"	"30.7478665632273"	"55.0699934418411"	"128900"	"80.6341463414634"	"245670666639.047"	"15518000"
2012	"YR2012"	"Greenland"	"GRL"	""	""	""	""	"2.019"	"88.8534374510676"	"0.000535997076379583"	"64.8960100995989"	"410450"	"71.2990243902439"	"2609667673.71601"	""
2012	"YR2012"	"Grenada"	"GRD"	""	""	"2350"	""	"2.194"	""	"49.9705882352941"	"32"	"340"	"73.044"	"799882148.148148"	"125000"
2012	"YR2012"	"Guam"	"GUM"	""	""	""	"16.0510005950928"	"2.427"	""	"46.2962962962963"	"61.5341593079002"	"540"	"78.689"	"5199000000"	"1308000"
2012	"YR2012"	"Guatemala"	"GTM"	"42359513327.2864"	"288013.900825685"	"1996"	"19.4979991912842"	"3.219"	"44.1977627468248"	"34.053751399776"	"16"	"107160"	"72.227"	"50388454861.1111"	"1491000"
2012	"YR2012"	"Guinea"	"GIN"	"5208812785.15171"	""	"1651"	"5.90999984741211"	"5.175"	""	"26.338922350643"	"3.1"	"245720"	"57.782"	"7504778989.47662"	"96000"
2012	"YR2012"	"Guinea-Bissau"	"GNB"	"825504975.399111"	""	"1577"	"6.83500003814697"	"4.923"	""	"71.1948790896159"	"2.89399062085531"	"28120"	"55.807"	"989875559.112237"	"35400"
2012	"YR2012"	"Guyana"	"GUY"	"2353052820.72305"	"247780.347691014"	"2387"	"25.1790008544922"	"2.606"	"59.1322561151021"	"84.1046482092964"	"30.5"	"196850"	"66.216"	"2861562265.88301"	"177000"
2012	"YR2012"	"Haiti"	"HTI"	"7502330320.8924"	""	"1440"	"11.331000328064"	"3.169"	""	"3.6066763425254"	"9.8"	"27560"	"62.078"	"7890216507.68913"	"349000"
2012	"YR2012"	"Heavily indebted poor countries (HIPC)"	"HPC"	"430842630765.168"	"18073364.0300627"	""	"9.77101528865399"	"5.17946536304209"	"30.6057243191982"	"28.316580093553"	"6.59113492778765"	"19754786"	"60.1833247904443"	"564381508746.692"	"17994590.8529732"
2012	"YR2012"	"High income"	"HIC"	"41105455085616.3"	"1852977164.52738"	""	"22.9573827869956"	"1.71814973379465"	"8.19665125292215"	"27.4841605505008"	"74.697610826222"	"37883992.3"	"80.0070586685504"	"49467213807435.4"	"614362272.979538"
2012	"YR2012"	"Honduras"	"HND"	"15999367803.6399"	"422016.887644915"	"1976"	"19.9270000457764"	"2.694"	"56.93261031342"	"44.2577531504156"	"18.12"	"111890"	"72.805"	"18528601901.324"	"895000"
2012	"YR2012"	"Hong Kong SAR, China"	"HKG"	""	"32247332.0776827"	""	"12.7589998245239"	"1.285"	"10.3704124076798"	""	"72.9"	"1050"	"83.4804878048781"	"262629441493.476"	"23770000"
2012	"YR2012"	"Hungary"	"HUN"	"98284086541.9225"	"12289555.0764284"	"589"	"29.7919998168945"	"1.34"	"9.1287166369677"	"22.7018667844913"	"70.579998153838"	"90530"	"75.0634146341463"	"127856647107.82"	"4164000"
2012	"YR2012"	"IBRD only"	"IBD"	"20239667341881.2"	"1030798822.41806"	""	"25.8030329169031"	"2.12454179329354"	"9.31239290142052"	"33.8856856447815"	"32.0890596498578"	"69397181"	"71.8594546933465"	"25110781711224.5"	"406061350.608242"
2012	"YR2012"	"Iceland"	"ISL"	"10436018280.2364"	"2400160"	"1940"	"18.2240009307861"	"2.04"	"44.5811665110226"	"0.451870324189526"	"96.2097995545657"	"100250"	"82.9170731707317"	"14292008745.4017"	"673000"
2012	"YR2012"	"IDA & IBRD total"	"IBT"	"21720310202276.4"	"1080347426.56044"	""	"23.386981727347"	"2.61516410718663"	"9.70595484685086"	"31.4190679623442"	"26.5615002139514"	"95717621"	"69.5160633487465"	"26896135269886"	"452786470.134767"
2012	"YR2012"	"IDA blend"	"IDB"	"740990107373.551"	"24608595.7964471"	""	"18.1956665995645"	"4.38044014128673"	"9.62777222786182"	"20.5400773386869"	"13.2052137297158"	"5937520"	"60.3166464213152"	"897230432814.01"	"8637961.63864551"
2012	"YR2012"	"IDA only"	"IDX"	"736291997775.928"	"24940008.3459324"	""	"12.3143450595261"	"4.2490997367793"	"26.4004614130875"	"26.187283321208"	"6.84592745001168"	"20382920"	"63.0555247115879"	"881148790694.837"	"35994738.2546745"
2012	"YR2012"	"IDA total"	"IDA"	"1485421662910.48"	"49548604.1423794"	""	"14.0884767701194"	"4.2924908576279"	"17.3193926680349"	"24.9128261510182"	"8.96578152903695"	"26320440"	"62.1509562307794"	"1788045890061.4"	"44113449.1730087"
2012	"YR2012"	"India"	"IND"	"1576876753564.77"	"72151828.8895485"	"1083"	"24.3549995422363"	"2.475"	"10.5430952838809"	"23.5931104302113"	"12.5800609138955"	"2973190"	"67.377"	"1827637859136.23"	"6578000"
2012	"YR2012"	"Indonesia"	"IDN"	"685503857567.653"	"79405799.80957"	"2702"	"21.0699996948242"	"2.455"	"17.9167672166517"	"51.3715727242116"	"14.52"	"1811570"	"68.509"	"917869910105.749"	"8044000"
2012	"YR2012"	"Iran, Islamic Rep."	"IRN"	"475142398365.289"	"17687478.5197214"	"228"	"34.9589996337891"	"1.742"	""	"6.56449077826076"	"22.73"	"1628760"	"74.787"	"598853401276.104"	"3834000"
2012	"YR2012"	"Iraq"	"IRQ"	"170073801247.962"	"784944.25303469"	"216"	"18.9810009002686"	"4.542"	"0.0151052122033691"	"1.89952109044023"	"7.1"	"434320"	"68.963"	"218000986222.639"	"1111000"
2012	"YR2012"	"Ireland"	"IRL"	"149448219667.895"	"92637189.1903926"	"1118"	"18.2950000762939"	"2"	"10.0582167806878"	"10.6980693859776"	"76.919992540097"	"68890"	"80.8463414634146"	"225571853194.348"	"7550000"
2012	"YR2012"	"Isle of Man"	"IMN"	""	""	""	""	""	""	"6.07017543859649"	""	"570"	""	"6433357030.0158"	""
2012	"YR2012"	"Israel"	"ISR"	"215946965351.165"	"5381980"	"435"	"17.8640003204346"	"3.05"	"3.14129485805322"	"7.31977818853974"	"70.8"	"21640"	"81.7048780487805"	"257296579579.346"	"2886000"
2012	"YR2012"	"Italy"	"ITA"	"1688120863486.81"	"31072962.155732"	"832"	"27.5830001831055"	"1.43"	"7.97237133838623"	"31.0586795403549"	"55.829997993283"	"294140"	"82.2390243902439"	"2072823157059.76"	"46360000"
